	audio_id	audio_file_path	book_id	title	bird_name	id	en_name	ja_name	path	ja_path_name	en_path_name	path_taxon_rank_name
40	1_41	db/日本野鳥大鑑1/41 オオヒシクイ.wav	1	41 オオヒシクイ	オオヒシクイ							
71	2_11	db/日本野鳥大鑑2/11 オガサワラノスリ.wav	2	11 オガサワラノスリ	オガサワラノスリ							
95	2_35	db/日本野鳥大鑑2/35 リュウキュウヒクイナ.wav	2	35 リュウキュウヒクイナ	リュウキュウヒクイナ							
154	3_20	db/日本野鳥大鑑3/20 ハジブトウミガラス.wav	3	20 ハジブトウミガラス	ハジブトウミガラス							
176	3_42	db/日本野鳥大鑑3/42 ダイトウコノハズク.wav	3	42 ダイトウコノハズク	ダイトウコノハズク							
178	3_44	db/日本野鳥大鑑3/44 リュウキュウオオコノハズク.wav	3	44 リュウキュウオオコノハズク	リュウキュウオオコノハズク							
189	3_55	db/日本野鳥大鑑3/55 リュウキュウアカショウビン.wav	3	55 リュウキュウアカショウビン	リュウキュウアカショウビン							
202	3_68	db/日本野鳥大鑑3/68 オーストンオオアカゲラ.wav	3	68 オーストンオオアカゲラ	オーストンオオアカゲラ							
205	3_71	db/日本野鳥大鑑3/71 リュウキュウコゲラ.wav	3	71 リュウキュウコゲラ	リュウキュウコゲラ							
217	4_12	db/日本野鳥大鑑4/12 ホオジロハクセキレイ.wav	4	12 ホオジロハクセキレイ	ホオジロハクセキレイ							
224	4_19	db/日本野鳥大鑑4/19 アマミヒヨドリ.wav	4	19 アマミヒヨドリ	アマミヒヨドリ							
225	4_20	db/日本野鳥大鑑4/20 オガサワラヒヨドリ.wav	4	20 オガサワラヒヨドリ	オガサワラヒヨドリ							
226	4_21	db/日本野鳥大鑑4/21 ダイトウヒヨドリ.wav	4	21 ダイトウヒヨドリ	ダイトウヒヨドリ							
231	4_26	db/日本野鳥大鑑4/26 シマアカモズ.wav	4	26 シマアカモズ	シマアカモズ							
236	4_31	db/日本野鳥大鑑4/31 モスケミソサザイ.wav	4	31 モスケミソサザイ	モスケミソサザイ							
242	4_37	db/日本野鳥大鑑4/37 ホントウアカヒゲ.wav	4	37 ホントウアカヒゲ	ホントウアカヒゲ							
269	4_64	db/日本野鳥大鑑4/64 ハシナガウグイス.wav	4	64 ハシナガウグイス	ハシナガウグイス							
270	4_65	db/日本野鳥大鑑4/65 リュウキュウウグイス.wav	4	65 リュウキュウウグイス	リュウキュウウグイス							
287	5_09	db/日本野鳥大鑑5/09 コメボソムシクイ.wav	5	09 コメボソムシクイ	コメボソムシクイ							
297	5_19	db/日本野鳥大鑑5/19 リュウキュウキビタキ.wav	5	19 リュウキュウキビタキ	リュウキュウキビタキ							
302	5_24	db/日本野鳥大鑑5/24 リュウキュウサンコウチョウ.wav	5	24 リュウキュウサンコウチョウ	リュウキュウサンコウチョウ							
304	5_26	db/日本野鳥大鑑5/26 シマエナガ.wav	5	26 シマエナガ	シマエナガ							
310	5_32	db/日本野鳥大鑑5/32 アマミヤマガラ.wav	5	32 アマミヤマガラ	アマミヤマガラ							
313	5_35	db/日本野鳥大鑑5/35 イシガキシジュウカラ.wav	5	35 イシガキシジュウカラ	イシガキシジュウカラ							
315	5_37	db/日本野鳥大鑑5/37 シロハラゴジュウカラ.wav	5	37 シロハラゴジュウカラ	シロハラゴジュウカラ							
318	5_40	db/日本野鳥大鑑5/40 シチトウメジロ.wav	5	40 シチトウメジロ	シチトウメジロ							
319	5_41	db/日本野鳥大鑑5/41 リュウキュウメジロ.wav	5	41 リュウキュウメジロ	リュウキュウメジロ							
339	5_61	db/日本野鳥大鑑5/61 サバンナシトド.wav	5	61 サバンナシトド	サバンナシトド							
366	6_27	db/日本野鳥大鑑6/27 ミヤマカケス.wav	6	27 ミヤマカケス	ミヤマカケス							
377	6_38	db/日本野鳥大鑑6/38 オサハシブトガラス.wav	6	38 オサハシブトガラス	オサハシブトガラス							
382	6_43	db/日本野鳥大鑑6/43 ガチョウ.wav	6	43 ガチョウ	ガチョウ							
383	6_44	db/日本野鳥大鑑6/44 アヒル.wav	6	44 アヒル	アヒル							
388	6_49	db/日本野鳥大鑑6/49 ドバト.wav	6	49 ドバト	ドバト							
396	6_57	db/日本野鳥大鑑6/57 アカハラシキチョウ.wav	6	57 アカハラシキチョウ	アカハラシキチョウ							
402	6_63	db/日本野鳥大鑑6/63 ホウコウチョウ.wav	6	63 ホウコウチョウ	ホウコウチョウ							
411	6_72	db/日本野鳥大鑑6/72 ギンハシ.wav	6	72 ギンハシ	ギンハシ							
414	6_75	db/日本野鳥大鑑6/75 キンランチョウ.wav	6	75 キンランチョウ	キンランチョウ							
