audio_id	audio_file_path	book_id	title	bird_name	id	path	ja_path_name	en_path_name	path_taxon_rank_name
3_55	db/日本野鳥大鑑3/55 リュウキュウアカショウビン.wav	3	55 リュウキュウアカショウビン	リュウキュウアカショウビン					
3_71	db/日本野鳥大鑑3/71 リュウキュウコゲラ.wav	3	71 リュウキュウコゲラ	リュウキュウコゲラ					
4_19	db/日本野鳥大鑑4/19 アマミヒヨドリ.wav	4	19 アマミヒヨドリ	アマミヒヨドリ					
4_20	db/日本野鳥大鑑4/20 オガサワラヒヨドリ.wav	4	20 オガサワラヒヨドリ	オガサワラヒヨドリ					
4_21	db/日本野鳥大鑑4/21 ダイトウヒヨドリ.wav	4	21 ダイトウヒヨドリ	ダイトウヒヨドリ					
4_37	db/日本野鳥大鑑4/37 ホントウアカヒゲ.wav	4	37 ホントウアカヒゲ	ホントウアカヒゲ					
4_64	db/日本野鳥大鑑4/64 ハシナガウグイス.wav	4	64 ハシナガウグイス	ハシナガウグイス					
4_65	db/日本野鳥大鑑4/65 リュウキュウウグイス.wav	4	65 リュウキュウウグイス	リュウキュウウグイス					
5_32	db/日本野鳥大鑑5/32 アマミヤマガラ.wav	5	32 アマミヤマガラ	アマミヤマガラ					
5_61	db/日本野鳥大鑑5/61 サバンナシトド.wav	5	61 サバンナシトド	サバンナシトド					
6_38	db/日本野鳥大鑑6/38 オサハシブトガラス.wav	6	38 オサハシブトガラス	オサハシブトガラス					
6_43	db/日本野鳥大鑑6/43 ガチョウ.wav	6	43 ガチョウ	ガチョウ	Q255503				
6_44	db/日本野鳥大鑑6/44 アヒル.wav	6	44 アヒル	アヒル	Q742292				
6_57	db/日本野鳥大鑑6/57 アカハラシキチョウ.wav	6	57 アカハラシキチョウ	アカハラシキチョウ					
6_63	db/日本野鳥大鑑6/63 ホウコウチョウ.wav	6	63 ホウコウチョウ	ホウコウチョウ					
6_75	db/日本野鳥大鑑6/75 キンランチョウ.wav	6	75 キンランチョウ	キンランチョウ					
